date,province,city,inflect,cure,dead
7月31日,辽宁,大连市,11,0,0
7月31日,上海,境外输入-美国,0,1,0
7月31日,香港,,149,69,1
7月31日,新疆,昌吉州,1,,
7月31日,新疆,乌鲁木齐市,111,3,
7月31日,北京,地市明细不详,,10,
7月31日,广东,境外输入-伊拉克,1,,
7月31日,广东,境外输入-菲律宾,2,,
7月31日,广东,地市明细不详,,2,
7月31日,天津,境外输入-美国,1,,
7月31日,四川,境外输入-不详,,1,
7月31日,福建,境外输入-不详,,1,
7月31日,莱索托,,71,,1
7月29日,马约特,,27,,
7月31日,波多黎各,,221,,2
7月31日,法属圭亚那,,85,,
7月31日,美属维尔京群岛,,10,,1
7月31日,百慕大,,2,,
7月31日,荷属圣马丁,,6,,
7月31日,巴勒斯坦,,520,,2
7月31日,塔吉克斯坦,,44,,
7月31日,泽西岛,,1,,
7月31日,直布罗陀,,1,,
7月31日,关岛,,3,,
7月30日,香港,,118,64,1
7月30日,辽宁,大连市,5,0,0
7月30日,新疆,乌鲁木齐市,96,4,0
7月30日,广东,境外输入-赞比亚,1,0,0
7月30日,广东,境外输入-不详,0,3,0
7月30日,北京,地市明细不详,1,5,0
7月29日,台湾,,5,0,0
7月30日,云南,境外输入孟加拉国,1,0,0
7月30日,陕西,境外输入-比利时,1,0,0
7月30日,马约特,,5,0,1
7月30日,波多黎各,,409,0,8
7月30日,法属圭亚那,,48,0,1
7月30日,美属维尔京群岛,,11,0,0
7月30日,荷属圣马丁,,1,0,0
7月30日,巴勒斯坦,,481,0,1
7月30日,泽西岛,,2,0,0
7月30日,格陵兰岛,,1,0,0
7月30日,法罗群岛,,6,0,0
7月30日,关岛,,2,0,0
7月30日,塔吉克斯坦,,41,0,0
7月30日,科摩罗,,24,0,0
7月29日,香港,,106,41,1
7月29日,新疆,乌鲁木齐市,89,2,
7月29日,北京,地市明细不详,1,1,
7月29日,广东,境外输入-新加坡,1,,
7月29日,广东,境外输入-伊朗,1,,
